ID,brand,NIC,owner,image
1319107,BOTTERSNIKES AND GUMBLES,"9, 16, 18, 21, 24, 25, 28, 41, 45",Cheeky Little Media Pty Ltd,No Image
009388935,Sensomotorik Techniker,"10, 25, 35, 37, 40, 42, 44",footpower Service GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7GOQISAGKWGOT4QZHUYEOCEOELK
016661142,NIKE,"7, 8, 9, 12",Rehobot  Hydraulics AB,No Image
018326927,CCE Ziviltechniker GmbH,"37, 42",CCE Ziviltechniker GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U454YX7YRFS7KPDMVVHONDKR7Z77Q
018467456,Nikeiy,"6, 8",Wenzhou Boju International Trade Co. Ltd,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45TS5RUZUEEOCV7KE6KKM2OLDKZ2
018507097,TechnikElfe,42,Sara Menzel-Berger,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YQ6KRD6ANLBBBB5IGGEEHQULXE
018623025,T TEKNIKER MEMBER OF BASQUE RESEARCH &amp; TECHNOLOGY ALLIANCE,"7, 9, 37, 40, 41, 42",FUNDACION TEKNIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452JLEFHCTEKBIRITP6UHD2VBIPC
018764903,Siphoniker,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,No Image
018764904,SIPHONIKER,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VAFLB54GY54XBY2H6OIBJKPY7S
018811349,TIM DOSTARCZAMY ELEKTROTECHNIKĘ PROFESJONALISTOM,"35, 37, 39, 41, 42",TIM S.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45RWV4THYJKZXHE53FJVKR7FQX72
